проверка; UTF-8 (от англ. Unicode Transformation Format — формат преобразования Юникода) — в настоящее время распространённая кодировка, реализующая представление Юникода, совместимое с 8-битным кодированием текста. Нашла широкое применение в операционных системах и веб-пространстве.
IntelliTXT; IntelliTXT is an advertistment platform developed by Vibrant Media. Website authors insert a script into their pages which calls the IntelliTXT platform when a viewer views the page. This script then finds keywords on the page and double underlines them. When holding the mouse over the double underlined link, an advertisement associated with that word will pop up. Advertisers pay to have their ads associated with particular words. "Context" is considered in an attempt to make the ads relevant to the web page hosting IntelliTXT.<br /><a href="/wiki/Image:Intellitxt_logo.png"><img style="margin: 5px" alt="The IntelliTXT Logo" longdesc="/wiki/Image:Intellitxt_logo.png" class="thumbimage" src="http://upload.wikimedia.org/wikipedia/en/thumb/b/b1/Intellitxt_logo.png/180px-Intellitxt_logo.png" height="93" width="180" border="0 /"></a>;
acquisition;Acquisition is the collection phase of assets for a CMS. Assets can be text files, images, audio or video files, or animations including Flash files. They can be XML documents coming from other servers, like RSS news feeds and Web Services. <br /><br />During acquisition all assets need to be tagged and then stored in the data repository (in the database or file system or both). Digital Rights Management (DRM) establishes the licensing requirements for all assets. Modern assets may be accompanied by Metadata with authorship, terms of use, etc. A sophisticated CMS helps to manage this metadata.;
aggregation;Aggregation describes the collection of assets in the first phase of a Content Management System. <br /><br />Aggregation also describes the receiving (or consuming) of RSS or RDF feeds (news feeds or data feeds) by a CMS. <br /><br />The producer of the feeds is called a syndicator.;
digital asset management; Digital asset management (DAM) systems support the storage, retrieval and reuse of digital objects within an organisation. DAM differs from Document Management and Content Management in its focus on multimedia resources, such as images, video and audio. DAM also has a strong focus on Digital Rights Management. <br /><br />Digital asset management is extensively used by organisations that have a portfolio of digital content or other electronic resources, such as museums and libraries, as well as media and advertising firms.;
access permission management;Access Control is the system of privileges and permissions that secures content and identifies who can read, create, modify, and delete content. <br /><br />Access Permissions control the rights of authors, editors, reviewers, and users to create, edit, and review content. <br /><br />Architectural information is a component of an information model; provides information on how content should be reused (for example, systematic reuse), guidelines for content formalization in a Document Type Definition (DTD) or template, where content is to be reused, and how it is reused (for example, locked reuse or derivative reuse). ;
soap;SOAP (originally Simple Object Access Protocol) is a protocol for exchanging XML-based messages over computer network, normally using HTTP. SOAP forms the foundation layer of the Web services stack, providing a basic messaging framework that more abstract layers can build on. The original acronym was dropped with Version 1.2 of the standard, which became a W3C Recommendation on June 24, 2003, as it was considered to be misleading.;
syndication;Syndicating content makes it accessible as a WebService.<br /><br />Typically an RSS news feed is provided in the form of a specific hyperlink to be embedded in a page template. The resulting ContentObject is delivered over the web from the content syndication server. <br /><br />The resulting web page is said to be aggregating content. Note the potential confusion when companies in the syndication business are themselves described as news aggregators. ;
web-services; Web Services describe one web server (or even a smart client applet) getting information or running an application program from a remote web-accessible Application Server. <br /><br />An RSS NewsFeed? is a prime example of a web service. Distributed applications put part of their business logic on remote servers where key data can be accessed locally.; 
meta-data;Meta Data is descriptive data that is attached to an object (element) that allows a piece of Content to be more accurately indexed, retrieved, or processed. <br /><br />It describes the content, and might provide optional information like a caption, abstract, or keywords for search engines. It could include a creation date, publication date, and expiry date.;
integration; Integration in Content Management usually means the inclusion in the Content Template of a Content Block that contains an interactive Component. <br /><br />The Component uses a Connector to access interactive code, sometimes on a completely different machine from the Web Server. This Connector implements a WebService?, which might return the number of items in inventory, for example, and then decrement the inventory if the page produces a transaction.; 
